System Default,0
Catalan,42
Chinese (Simplified),44
Chinese (Traditional),45
English,56
Finnish,77
French,78
German,87
Hindi,99
Italian,108
Japanese,110
Polish,149
Portuguese,150
Russian,156
Spanish,175
Swedish,198
Turkish,210
